[2023-03-19T01:25:12.710] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-19T23:53:21.876] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-22T11:26:01.783] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-22T11:42:24.088] [WARN] warnArchive - Estado: 404, Ruta consultada: /apiIproductos, Metodo POST
[2023-03-22T11:42:38.583] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo POST
[2023-03-22T12:32:47.922] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos/641b1ebfe8ca6b4df60307d8, Metodo POST
[2023-03-31T11:07:24.143] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-31T12:17:01.495] [WARN] warnArchive - Estado: 404, Ruta consultada: /unfetch.umd.js.map, Metodo GET
[2023-03-31T12:17:01.498] [WARN] warnArchive - Estado: 404, Ruta consultada: /graphiql.min.js.map, Metodo GET
[2023-04-08T23:13:33.548] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-19T19:27:11.467] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-23T23:52:22.506] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-23T23:59:08.320] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/carrito, Metodo POST
[2023-04-24T00:01:08.595] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/carrito/6445f0af5febb49c0a72e973/productos/641cd9114840cf449d6fcabd, Metodo GET
[2023-04-24T08:10:11.597] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T08:34:47.053] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T09:20:23.043] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-27T13:30:42.398] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-27T15:04:12.363] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
