[2023-03-10T03:19:39.420] [WARN] warnArchive - Estado: 404, Ruta consultada: /datos, Metodo GET
[2023-03-10T03:19:39.490] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-10T03:20:01.272] [WARN] warnArchive - Estado: 404, Ruta consultada: /datos, Metodo GET
[2023-03-10T03:30:22.247] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-03-10T03:30:39.070] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-03-10T04:20:01.938] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-03-10T04:20:06.948] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-03-10T04:20:39.665] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-03-10T04:21:17.713] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-03-10T04:21:57.485] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-03-10T04:43:45.469] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-03-10T04:44:04.576] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-03-10T04:49:21.188] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-03-10T04:50:38.075] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-03-10T04:52:21.374] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-03-10T04:54:00.832] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-03-10T04:54:45.816] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-03-10T04:59:53.198] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-03-10T04:59:55.512] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-03-10T05:04:33.332] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-03-10T05:09:38.912] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-03-10T05:15:50.615] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
